Title,Parental Rating
Sinners,R
Havoc,TV-MA
Another Simple Favor,R
The Accountant 2,R
Conclave,PG
Exterritorial,TV-MA
A Minecraft Movie,PG
Until Dawn,R
Drop,PG-13
Death of a Unicorn,R
A Simple Favor,R
Weapons,R
Warfare,R
The Accountant,R
Snow White,PG
Companion,R
Raid 2,
Black Bag,R
Ash,R
Babygirl,R
The Amateur,PG-13
Mickey 17,R
Mission: Impossible - The Final Reckoning,PG-13
Star Wars: Episode III - Revenge of the Sith,PG-13
Anora,R
Final Destination: Bloodlines,R
Rust,Not Rated
Freaky Tales,R
The Four Seasons,PG
Captain America: Brave New World,PG-13
A Working Man,R
A Complete Unknown,R
Gladiator II,R
Nosferatu,R
The Substance,R
Bullet Train Explosion,TV-14
iHostage,TV-MA
Neighborhood Watch,R
Heretic,R
The Monkey,R
The Surfer,R
Locked,R
Winter Spring Summer or Fall,R
The Gorge,PG-13
Gladiator,R
Novocaine,R
Pride & Prejudice,PG
The Life List,PG-13
Rogue One: A Star Wars Story,PG-13
28 Years Later,
Together,R
The Shawshank Redemption,R
G20,R
Jewel Thief: The Heist Begins,
The Order,R
Last Breath,PG-13
The Electric State,PG-13
Lilo & Stitch,PG
Now You See Me,PG-13
Den of Thieves: Pantera,R
How to Train Your Dragon,PG
Oppenheimer,R
The Friend,R
Wicked,PG
The King of Kings,PG
The Brutalist,R
Cleaner,R
Interstellar,PG-13
The Godfather,R
Barbarian,R
Black Widow,PG-13
The Penguin Lessons,PG-13
From the World of John Wick: Ballerina,
Twisters,PG-13
The Two Popes,PG-13
Once Upon a Time... in Hollywood,R
Top Gun: Maverick,PG-13
Mufasa: The Lion King,PG
Salvable,R
The Legend of Ochi,PG
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,
Tombstone,R
Kraven the Hunter,R
The Commitments,R
Deadpool & Wolverine,R
The Dark Knight,PG-13
Trap,PG-13
Inception,PG-13
Karate Kid: Legends,
Deep Cover,R
A Real Pain,R
Speak No Evil,R
Love,TV-MA
Jurassic World Rebirth,PG-13
Star Wars: Episode IV - A New Hope,PG
Fear Street: Prom Queen,R
Den of Thieves,R
Mission: Impossible - Dead Reckoning Part One,PG-13
Inglourious Basterds,R
Alien: Romulus,R
Harry Potter and the Sorcerer's Stone,PG
Titanic,PG-13
Pulp Fiction,R
The Wild Robot,PG
Lolita,R
Mysterious Island,Approved
The Lord of the Rings: The Fellowship of the Ring,PG-13
Final Destination,R
Virgin Territory,R
Now You See Me 2,PG-13
The Wolf of Wall Street,R
Star Wars: Episode I - The Phantom Menace,PG
Dune: Part Two,PG-13
Avengers: Endgame,PG-13
The Hunger Games,PG-13
The Bhootnii,
Heat,R
The Truman Show,PG
Retro,
Fight or Flight,R
Flow,PG
The Alto Knights,R
Screamboat,Not Rated
The Woman in the Yard,PG-13
Moana 2,PG
The Ugly Stepsister,
Sonic the Hedgehog 3,PG
X,R
Wolf Man,R
Fight Club,R
In the Lost Lands,R
The Silence of the Lambs,R
No Hard Feelings,R
The Hunger Games: The Ballad of Songbirds & Snakes,PG-13
"Sorry, Baby",R
Parasite,R
Schindler's List,R
Fountain of Youth,PG-13
Midsommar,R
Civil War,R
Goodfellas,R
Smile 2,R
Parthenope,R
Clown in a Cornfield,R
Dazed and Confused,R
Se7en,R
I'm Still Here,PG-13
The Life of Chuck,R
The Princess Bride,PG
Primal Fear,R
Magazine Dreams,R
Anyone But You,R
28 Days Later,R
Forrest Gump,PG-13
Longlegs,R
Poor Things,R
It Ends with Us,PG-13
The Phoenician Scheme,PG-13
The Ministry of Ungentlemanly Warfare,R
We Live in Time,R
The Shrouds,R
365 Days,TV-MA
The Prestige,PG-13
The Return,R
Jurassic Park,PG-13
Mission: Impossible,PG-13
On Swift Horses,R
Fifty Shades of Grey,R
The Batman,PG-13
The Dark Knight Rises,PG-13
Superboys of Malegaon,PG-13
Friendship,R
Raiders of the Lost Ark,PG
Jaat,
Django Unchained,R
Venom: The Last Dance,PG-13
Spider-Man: Across the Spider-Verse,PG
From Dusk Till Dawn,R
Heart Eyes,R
The Matrix,R
American Pie,R
Batman Begins,PG-13
The Departed,R
The Gentlemen,R
Twilight,PG-13
,
HIT: The 3rd Case,
Prey,R
The Apprentice,R
Holland,R
Juror #2,PG-13
Gone Girl,R
Borbaad,
Back to the Future,PG
Grease,PG
The Goonies,PG
The Assessment,R
Furiosa: A Mad Max Saga,R
Blade Runner 2049,R
Whiplash,R
Requiem for a Dream,NC-17
Star Wars: Episode II - Attack of the Clones,PG
The Passion of the Christ,R
Alien,R
Léon: The Professional,R
Adult Best Friends,
The Notebook,PG-13
Good Will Hunting,R
No Country for Old Men,R
Spider-Man: No Way Home,PG-13
Matilda,PG
Wrath of Man,R
Blink Twice,R
Flight Risk,R
Hell of a Summer,R
Leave the World Behind,R
Thudarum,
All Ladies Do It,Not Rated
Strange Darling,R
Megalopolis,R
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13
Avengers: Infinity War,PG-13
Donnie Darko,R
Prisoners,R
The Dreamers,NC-17
Top Gun,PG
Hurry Up Tomorrow,R
Paul,R
Barbie,PG-13
Life or Something Like It,PG-13
Scarface,R
Chhaava,
American Beauty,R
In Secret,R
Apocalypse Now,R
Kingdom of Heaven,R
All That Jazz,R
Oldboy,R
The Count of Monte-Cristo,
Incendies,R
Predator: Killer of Killers,
Romeo + Juliet,PG-13
Nope,R
Star Wars: Episode V - The Empire Strikes Back,PG
Mean Girls,PG-13
Hereditary,R
Dune: Part One,PG-13
Snatch,R
Azrael,R
My Fault: London,
Rosario,R
Deep Water,R
Crazxy,
Twister,PG-13
Eternal Sunshine of the Spotless Mind,R
The Handmaiden,Not Rated
Small Things Like These,PG-13
Paddington in Peru,PG
The Beekeeper,R
Bullet Train,R
"Salò, or the 120 Days of Sodom",TV-MA
12 Angry Men,Approved
Materialists,R
John Wick,R
Pitch Perfect,PG-13
Guardians of the Galaxy Vol. 3,PG-13
Talk to Me,R
The Biggest Fan,TV-14
Saving Private Ryan,R
"Crazy, Stupid, Love.",PG-13
Murder at Yellowstone City,
Knives Out,PG-13
Road House,R
Everything Everywhere All at Once,R
Eden,R
MaXXXine,R
V for Vengeance,R
The Town,R
Guardians of the Galaxy,PG-13
Eyes Wide Shut,TV-MA
Fall,PG-13
The Breakfast Club,R
Tropic Thunder,R
The Green Mile,R
Get Out,R
Dog Man,PG
Green Book,PG-13
It,R
The Lord of the Rings: The Return of the King,PG-13
10 Things I Hate About You,PG-13
Bone Tomahawk,Not Rated
Carry-On,PG-13
Kingsman: The Secret Service,R
The Fall Guy,PG-13
Presence,R
Avatar: Fire and Ash,
Suicide Squad,PG-13
John Wick: Chapter 4,R
Where the Crawdads Sing,PG-13
How to Train Your Dragon,PG
Ed Kemper,
Terminator 2: Judgment Day,R
Annihilation,R
Deep Impact,PG-13
Saturday Night,R
The Usual Suspects,R
Catch Me If You Can,PG-13
Sin City,R
Sicario,R
Killers of the Flower Moon,R
Bring Her Back,R
"The Good, the Bad and the Ugly",R
Iron Man,PG-13
Thor: Love and Thunder,PG-13
Mad Max: Fury Road,R
Queer,R
Taxi Driver,R
Dungeons & Dragons: Honor Among Thieves,PG-13
Hit Man,R
Don't Worry Darling,R
Star Wars: Episode VI - Return of the Jedi,PG
Irreversible,Not Rated
Star Wars: Episode VII - The Force Awakens,PG-13
Scorned,R
Terrifier 3,Not Rated
Black Panther,PG-13
Fast Times at Ridgemont High,R
Shutter Island,R
Past Lives,PG-13
The Iron Claw,R
Abigail,R
Clueless,PG-13
The Outsiders,PG
The Man from Earth,Not Rated
It Feeds,
Jaws,PG
City of God,R
Spirited Away,PG
Day of Reckoning,R
Watchmen,R
Blade Runner,R
Spider-Man,PG-13
Better Man,R
Teenage Mutant Ninja Turtles: The Rise of Leo,
The Godfather Part II,R
The Terminator,R
Subservience,R
Indiana Jones and the Last Crusade,PG-13
There Will Be Blood,R
Shadow Force,R
The Help,PG-13
Mission: Impossible - Fallout,PG-13
Her,R
Memento,R
Ford v Ferrari,PG-13
One Battle After Another,
Marching Powder,
Harry Potter and the Goblet of Fire,PG-13
Back in Action,PG-13
The Hunger Games: Catching Fire,PG-13
Star Wars: Episode IX - The Rise of Skywalker,PG-13
Aliens,R
Jurassic World Dominion,PG-13
Havoc,R
One of Them Days,R
Y2K,R
Hell or High Water,R
The Northman,R
One Flew Over the Cuckoo's Nest,R
Legend,R
Casablanca,PG
Elevation,R
Predator,R
Just Go with It,PG-13
The Thing,R
The Menu,R
The Shining,R
Independence Day,PG-13
Superbad,R
The Super Mario Bros. Movie,PG
Arrival,PG-13
I Know What You Did Last Summer,R
Final Destination 2,R
Borderlands,PG-13
Oddity,R
Wolfs,R
There's Something About Mary,R
The Beach,R
The Equalizer,R
Full Metal Jacket,R
Mission: Impossible - Ghost Protocol,PG-13
Mob Land,R
Eddington,
American History X,R
Bonjour Tristesse,R
Beetlejuice Beetlejuice,PG-13
The Big Lebowski,R
The Big Short,R
Cars,G
The Bikeriders,R
Blue Is the Warmest Colour,NC-17
Eternals,PG-13
Nymphomaniac: Vol. I,Not Rated
Baby Driver,R
The Sixth Sense,PG-13
Atonement,R
The Avengers,PG-13
Asteroid City,PG-13
Ocean's Eleven,PG-13
Mulholland Drive,R
Troy,R
American Sniper,R
Braveheart,R
Vanilla Sky,R
The Grand Budapest Hotel,R
Captain America: The First Avenger,PG-13
Challengers,R
Mission: Impossible II,PG-13
The Lion King,G
Crimes of the Future,R
The Suicide Squad,R
Babylon,R
Paprika,Unrated
Kill Bill: Vol. 1,R
The Hangover,R
La La Land,PG-13
Kindergarten Cop,PG-13
28 Weeks Later,R
Operation Fortune: Ruse de Guerre,R
Dead Poets Society,PG
Napoleon Dynamite,PG
The Devil's Advocate,R
Happy Gilmore,PG-13
Lee,R
Pearl,R
Airplane!,PG
Homestead,PG-13
Ready Player One,PG-13
Ready or Not,R
Malena,R
The Heartbreak Kid,R
Stand by Me,R
Reservoir Dogs,R
Star Trek: Section 31,PG-13
Jumanji,PG
Saltburn,R
Mission: Impossible III,PG-13
Alita: Battle Angel,PG-13
Culpa Mía,Not Rated
The Room Next Door,PG-13
Manchester by the Sea,R
Court - State Vs. A Nobody,
The Equalizer 3,R
War of the Worlds,PG-13
The Raid: Redemption,R
Almost Famous,R
The Fifth Element,PG-13
Transformers,PG-13
Black Panther: Wakanda Forever,PG-13
Woman of the Hour,R
Tron: Legacy,PG
Madame Web,PG-13
Totally Killer,R
Smile,R
Harry Potter and the Deathly Hallows: Part 2,PG-13
Interview with the Vampire,R
Final Destination 3,R
Black Swan,R
Constantine,R
Little Women,PG
Idiocracy,R
Red Eye,PG-13
Megan Is Missing,Not Rated
Nobody,R
Joker,R
The Karate Kid,PG
Indiana Jones and the Temple of Doom,PG
The Girl Next Door,R
1917,R
Grown Ups,PG-13
The Voyeurs,R
Death Becomes Her,PG-13
Avatar,PG-13
Legally Blonde,PG-13
EuroTrip,R
Fargo,R
Stargate,PG-13
The Mummy,PG-13
Dora and the Lost City of Gold,PG
Clue,PG
Once Upon a Time in America,R
The Gift,R
Rush,R
Avatar: The Way of Water,PG-13
The Final Destination,R
Rebel Ridge,TV-MA
Bridget Jones: Mad About the Boy,R
The Comeback Trail,R
The Hateful Eight,R
2001: A Space Odyssey,G
The Covenant,R
True Grit,PG-13
Memories of Murder,Not Rated
Tenet,PG-13
Indiana Jones and the Dial of Destiny,PG-13
Divergent,PG-13
Hallow Road,
The Smashing Machine,R
Fruitvale Station,R
A Time to Kill,R
Prometheus,R
Casino,R
Joker: Folie à Deux,R
Uncle Buck,PG
Unforgiven,R
Willow,PG
Me Before You,PG-13
500 Days of Summer,PG-13
Scream,R
Us,R
The Secret Life of Walter Mitty,PG
Mr. Nobody,R
Lilo & Stitch,PG
Fast X,PG-13
Frewaka,
Life Is Beautiful,PG-13
Good Bad Ugly,
Knock Knock,R
Deadpool,R
Warrior,PG-13
Final Destination 5,R
Promising Young Woman,R
Come and See,Not Rated
Downfall,R
Kingsman: The Golden Circle,R
Angels & Demons,PG-13
Train to Busan,Not Rated
Brokeback Mountain,R
2073,R
Basic Instinct,R
The Great Gatsby,PG-13
Zodiac,R
RoboCop,R
Kinds of Kindness,R
The Raid 2,R
Grown Ups 2,PG-13
Pan's Labyrinth,R
The Intouchables,R
The Blue Lagoon,R
Minority Report,PG-13
Apocalypto,R
A Different Man,R
Mamma Mia!,PG-13
Glass Onion,PG-13
Wind River,R
Costao,
Black Hawk Down,R
Love & Other Drugs,R
Homefront,R
About Time,R
Sisters,R
300,R
Starship Troopers,R
The Equalizer 2,R
Sneaks,PG
The Conjuring,R
Captain America: The Winter Soldier,PG-13
Love Hurts,R
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG
Home Alone,PG
Jumanji: Welcome to the Jungle,PG-13
A Clockwork Orange,R
Dunkirk,PG-13
Alarum,R
We're the Millers,R
Drive,R
The Unholy Trinity,
Love Lies Bleeding,R
The Witch,R
A Knight's Tale,PG-13
The Place Beyond the Pines,R
Transformers One,PG
The Fugitive,PG-13
21 Jump Street,R
Spider-Man: Into the Spider-Verse,PG
Monty Python and the Holy Grail,PG
Sixteen Candles,PG
Platoon,R
The Lord of the Rings: The Two Towers,PG-13
Amadeus,PG
"Three Billboards Outside Ebbing, Missouri",R
Mob Cops,R
The Hobbit: An Unexpected Journey,PG-13
Point Break,R
Five Nights at Freddy's,PG-13
Hacksaw Ridge,R
The Rose of Versailles,TV-14
Inside Out 2,PG
The Age of Adaline,PG-13
Ratatouille,G
Thor: Ragnarok,PG-13
Shallow Hal,PG-13
Star Wars: Episode VIII - The Last Jedi,PG-13
Landmine Goes Click,TV-MA
Jurassic World,PG-13
Harry Potter and the Prisoner of Azkaban,PG
Call Me by Your Name,R
The Game,R
Hidden Figures,PG
Split,PG-13
Y tu mamá también,
Martyrs,R
Here,PG-13
If Only,PG-13
Stardust,PG-13
Popeye: The Slayer Man,Not Rated
Gunslingers,R
Unfaithful,R
Secretary,R
True Romance,R
Edge of Tomorrow,PG-13
Total Recall,R
I Spit on Your Grave,R
Ex Machina,R
The Toxic Avenger,R
Once Upon a Time in the West,PG-13
No Time to Die,PG-13
Superman,PG
The Ballad of Wallis Island,PG-13
The Hunt,R
The Rule of Jenny Pen,R
Mission: Impossible - Rogue Nation,PG-13
Horizon: An American Saga - Chapter 1,R
Sing,PG
The Pianist,R
Creed,PG-13
Grave of the Fireflies,Not Rated
Charlie and the Chocolate Factory,PG
The Sound of Music,G
The Martian,PG-13
Despicable Me 4,PG
Old School,R
White Chicks,PG-13
The Girl with the Dragon Tattoo,R
Terminator: Dark Fate,R
Kids,NC-17
The Revenant,R
The Family I Had,
The Predator,R
Poltergeist,PG
Lie with Me,Not Rated
Juliet & Romeo,PG-13
Only the Brave,PG-13
Wrong Turn,R
The Wedding Banquet,R
A Beautiful Mind,PG-13
Mid90s,R
September 5,R
Fury,R
The Perks of Being a Wallflower,PG-13
Anatomy of a Fall,R
Notting Hill,PG-13
Don't Look Up,R
Free Guy,PG-13
Sisu,R
Avengers: Age of Ultron,PG-13
The General's Daughter,R
Moana,PG
The Last Showgirl,R
Your Name.,
Home Sweet Home: Rebirth,
Harry Potter and the Chamber of Secrets,PG
Moneyball,PG-13
A Dog's Way Home,PG
Return to Silent Hill,
Die Alone,TV-MA
Scary Movie,R
Deva,
Princess Mononoke,PG-13
Perfect Days,PG
Friday,R
The Greatest Showman,PG
Nonnas,PG
Uncut Gems,R
Blue Velvet,R
Ferris Bueller's Day Off,PG-13
"Good Luck to You, Leo Grande",R
You're Cordially Invited,R
Harry Potter and the Order of the Phoenix,PG-13
I Saw the TV Glow,PG-13
Armageddon,PG-13
Psycho,R
Wonka,PG
Men in Black,PG-13
The Da Vinci Code,PG-13
The Wizard of Oz,G
Chronicle,PG-13
School of Rock,PG-13
Bridge to Terabithia,PG
Ghosted,PG-13
Thor,PG-13
Trainspotting,R
The Human Centipede (First Sequence),R
Tremors,PG-13
The Irishman,R
Terrifier,Unrated
Aftersun,R
Veera Dheera Sooran: Part 2,
Runaway Jury,PG-13
The Hill,PG
The Little Mermaid,PG
Captain America: Civil War,PG-13
Cruel Intentions,R
The Faculty,R
It's a Mad Mad Mad Mad World,Approved
The Salt Path,
The Idea of You,R
Shrek,PG
Lucky Baskhar,
The Cabin in the Woods,R
The Last Stop in Yuma County,R
The Gray Man,PG-13
The Marvels,PG-13
Ne Zha 2,Not Rated
Cheech & Chong's Last Movie,R
The Exorcist,R
Children of Men,R
Eden Lake,R
Shang-Chi and the Legend of the Ten Rings,PG-13
Amélie,R
Jojo Rabbit,PG-13
Into the Wild,R
The Ritual,
Nickel Boys,PG-13
Draft Day,PG-13
Dracula,R
Meet Joe Black,PG-13
Black Adam,PG-13
Desire,Not Rated
Uncharted,PG-13
Palm Springs,R
Kung Fu Panda,PG
The Social Network,PG-13
Office Space,R
The Tomorrow War,PG-13
A Serbian Film,NC-17
Fresh,R
Salem's Lot,R
The Holdovers,R
Boogie Nights,R
Pretty Woman,R
Doctor Strange in the Multiverse of Madness,PG-13
The Mask,PG-13
The Incredible Hulk,PG-13
The Sandlot,PG
Booksmart,R
The Expendables 4,R
The Zone of Interest,PG-13
V for Vendetta,R
Scent of a Woman,R
Beetlejuice,PG
Passengers,PG-13
Carrie,R
Marked Men,R
The Fast and the Furious,PG-13
The Virgin Suicides,R
Sing Sing,R
The Whale,R
The Naked Gun: From the Files of Police Squad!,PG-13
The Hunt,R
Lucy,R
In a Violent Nature,Not Rated
Casino Royale,PG-13
Predestination,R
Easy A,PG-13
Sacramento,R
The Last Voyage of the Demeter,R
My Cousin Vinny,R
Howl's Moving Castle,PG
The Devil Wears Prada,PG-13
Bad Boys: Ride or Die,R
Spaceballs,PG
Emmanuelle,
Solo: A Star Wars Story,PG-13
Venom,PG-13
Beauty and the Beast,PG
Love Actually,R
All Quiet on the Western Front,R
The Lighthouse,R
E.T. the Extra-Terrestrial,PG
Alien: Covenant,R
Zootopia,PG
Gangs of New York,R
The Day the Earth Blew Up: A Looney Tunes Movie,PG
Sicario: Day of the Soldado,R
A Few Good Men,R
M3GAN,PG-13
Police Academy,R
The Six Triple Eight,PG-13
Nightcrawler,R
The Imitation Game,PG-13
The Lives of Others,R
All of Us Strangers,R
The Last Duel,R
Jack Reacher,PG-13
The Killer,R
The Incredibles,PG
Borderline,R
Les Misérables,PG-13
Scott Pilgrim vs. the World,PG-13
Dune,PG-13
My Old Ass,R
The Deer Hunter,R
Fantastic Four,PG-13
Baywatch,R
X-Men,PG-13
Die Hard,R
Speed,R
Late Night with the Devil,R
The Last of the Mohicans,R
Spotlight,R
Dead Mail,
The Boy and the Heron,PG-13
L.A. Confidential,R
Shazam! Fury of the Gods,PG-13
Ant-Man and the Wasp,PG-13
Triangle of Sadness,R
West Side Story,PG-13
Bad Times at the El Royale,R
Argylle,PG-13
Training Day,R
Summer of 69,
The Patriot,R
MadS,TV-MA
Crazy Rich Asians,PG-13
Hot Tub Time Machine,R
3 Idiots,PG-13
Logan,R
Coco,PG
Emilia Pérez,R
Toy Story,G
Survive,
The King's Man,R
For Your Eyes Only,PG
The Nice Guys,R
The Maze Runner,PG-13
Caddo Lake,PG-13
Coherence,Not Rated
The Lost World: Jurassic Park,PG-13
Spider-Man: Homecoming,PG-13
,
Shooter,R
Ghostbusters,PG
How to Make Millions Before Grandma Dies,TV-PG
Bring It On,PG-13
Event Horizon,R
Transformers: The Last Knight,PG-13
Frozen,PG
Good Boy,
The Lost Boys,R
After,PG-13
Van Helsing,PG-13
Puss in Boots: The Last Wish,PG
The Wedding Singer,PG-13
The Magnificent Seven,PG-13
A Quiet Place: Day One,PG-13
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,
Taken,PG-13
Man of Steel,PG-13
Wifelike,R
Beautiful Boy,R
IF,PG
Sense and Sensibility,PG
The Parent Trap,PG
Finding Nemo,G
Iron Man 2,PG-13
Cinderella,PG
Kneecap,R
Little Miss Sunshine,R
Star Trek,PG-13
Hook,PG
2012,PG-13
Harry Potter and the Deathly Hallows: Part 1,PG-13
The Lord of the Rings: The War of the Rohirrim,PG-13
Demolition,R
Fantastic Mr. Fox,PG
Top Secret!,PG
Jerry Maguire,R
Pirates of the Caribbean: Dead Men Tell No Tales,PG-13
The Elephant Man,PG
The Crow,R
Pirates of the Caribbean: Dead Man's Chest,PG-13
Red One,PG-13
Ground Zero,
Batman,PG-13
Fantastic Four,PG-13
Predators,R
Ted,R
Caveat,Not Rated
Hamilton,PG-13
Oblivion,PG-13
"Lock, Stock and Two Smoking Barrels",R
Weird Science,PG-13
Fantastic Beasts and Where to Find Them,PG-13
Pink Floyd: Live at Pompeii,G
In Time,PG-13
Contagion,PG-13
Raid,Not Rated
Inside Man,R
Rain Man,R
Cast Away,PG-13
Lost in Translation,R
Red Sparrow,R
Kingdom of the Planet of the Apes,PG-13
WALL·E,G
Pale Rider,R
Iron Man 3,PG-13
The Old Guard 2,R
Saw,R
The Rocky Horror Picture Show,R
The Rock,R
Death Proof,R
Mystic River,R
Opus,R
Geostorm,PG-13
Dogma,R
Underwater,PG-13
13 Hours: The Secret Soldiers of Benghazi,R
Margin Call,R
Zack Snyder's Justice League,R
Gone with the Wind,G
Nightbitch,R
It's What's Inside,R
The Abyss,PG-13
Tangled,PG
The 40-Year-Old Virgin,R
Wedding Crashers,R
Ben-Hur,G
Deadpool 2,R
Napoleon,R
A Quiet Place,PG-13
Hot Fuzz,R
Willy Wonka & the Chocolate Factory,G
Ant-Man and the Wasp: Quantumania,PG-13
The Last Rodeo,PG
12 Years a Slave,R
Instant Family,PG-13
Secretariat,PG
Rocky,PG
The Lion King,PG
Tusk,R
The Flash,PG-13
Black Mirror: Bandersnatch,TV-MA
"Girl, Interrupted",R
Coyote Ugly,PG-13
Holes,PG
Hannibal,R
Thirteen,R
The Dark Tower,PG-13
The Descent,R
Erin Brockovich,R
Aladdin,PG
X-Men: First Class,PG-13
Man on Fire,R
Last Night in Soho,R
The Fast and the Furious: Tokyo Drift,PG-13
Dirty Dancing,PG-13
La cocina,R
"Monsters, Inc.",G
Mr. & Mrs. Smith,PG-13
Blended,PG-13
Death on the Nile,PG-13
Not Another Teen Movie,R
Fly Me to the Moon,PG-13
9 Songs,Not Rated
Peter Pan's Neverland Nightmare,Not Rated
World War Z,PG-13
The Watchers,PG-13
Drive-Away Dolls,R
Priscilla,R
The Ritual,TV-MA
Shame,NC-17
The King,R
Nocturnal Animals,R
The Prince of Egypt,PG
Purple Hearts,TV-14
Bring Them Down,R
Licorice Pizza,R
Murder on the Orient Express,PG-13
La Dolce Villa,TV-14
Perfect Blue,Not Rated
The Banshees of Inisherin,R
The Bourne Identity,PG-13
The Curious Case of Benjamin Button,PG-13
The Perfect Storm,PG-13
Tinker Tailor Soldier Spy,R
King Kong,PG-13
"Husband, Father, Killer: The Alyssa Pladl Story",TV-14
Godzilla x Kong: The New Empire,PG-13
