Title,Year
Sinners,2025.0
Havoc,2025.0
Another Simple Favor,2025.0
The Accountant 2,2025.0
Conclave,2024.0
Exterritorial,2025.0
A Minecraft Movie,2025.0
Until Dawn,2025.0
Drop,2025.0
Death of a Unicorn,2025.0
A Simple Favor,2018.0
Weapons,2025.0
Warfare,2025.0
The Accountant,2016.0
Snow White,2025.0
Companion,2025.0
Raid 2,2025.0
Black Bag,2025.0
Ash,2025.0
Babygirl,2024.0
The Amateur,2025.0
Mickey 17,2025.0
Mission: Impossible - The Final Reckoning,2025.0
Star Wars: Episode III - Revenge of the Sith,2005.0
Anora,2024.0
Final Destination: Bloodlines,2025.0
Rust,2024.0
Freaky Tales,2024.0
The Four Seasons,1981.0
Captain America: Brave New World,2025.0
A Working Man,2025.0
A Complete Unknown,2024.0
Gladiator II,2024.0
Nosferatu,2024.0
The Substance,2024.0
Bullet Train Explosion,2025.0
iHostage,2025.0
Neighborhood Watch,2025.0
Heretic,2024.0
The Monkey,2025.0
The Surfer,2024.0
Locked,2025.0
Winter Spring Summer or Fall,2024.0
The Gorge,2025.0
Gladiator,2000.0
Novocaine,2025.0
Pride & Prejudice,2005.0
The Life List,2025.0
Rogue One: A Star Wars Story,2016.0
28 Years Later,2025.0
Together,2025.0
The Shawshank Redemption,1994.0
G20,2025.0
Jewel Thief: The Heist Begins,2025.0
The Order,2024.0
Last Breath,2025.0
The Electric State,2025.0
Lilo & Stitch,2025.0
Now You See Me,2013.0
Den of Thieves: Pantera,2025.0
How to Train Your Dragon,2025.0
Oppenheimer,2023.0
The Friend,2024.0
Wicked,2024.0
The King of Kings,2025.0
The Brutalist,2024.0
Cleaner,2025.0
Interstellar,2014.0
The Godfather,1972.0
Barbarian,2022.0
Black Widow,2021.0
The Penguin Lessons,2024.0
From the World of John Wick: Ballerina,2025.0
Twisters,2024.0
The Two Popes,2019.0
Once Upon a Time... in Hollywood,2019.0
Top Gun: Maverick,2022.0
Mufasa: The Lion King,2024.0
Salvable,2025.0
The Legend of Ochi,2025.0
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,2025.0
Tombstone,1993.0
Kraven the Hunter,2024.0
The Commitments,1991.0
Deadpool & Wolverine,2024.0
The Dark Knight,2008.0
Trap,2024.0
Inception,2010.0
Karate Kid: Legends,2025.0
Deep Cover,2025.0
A Real Pain,2024.0
Speak No Evil,2024.0
Love,2015.0
Jurassic World Rebirth,2025.0
Star Wars: Episode IV - A New Hope,1977.0
Fear Street: Prom Queen,2025.0
Den of Thieves,2018.0
Mission: Impossible - Dead Reckoning Part One,2023.0
Inglourious Basterds,2009.0
Alien: Romulus,2024.0
Harry Potter and the Sorcerer's Stone,2001.0
Titanic,1997.0
Pulp Fiction,1994.0
The Wild Robot,2024.0
Lolita,1997.0
Mysterious Island,1961.0
The Lord of the Rings: The Fellowship of the Ring,2001.0
Final Destination,2000.0
Virgin Territory,2007.0
Now You See Me 2,2016.0
The Wolf of Wall Street,2013.0
Star Wars: Episode I - The Phantom Menace,1999.0
Dune: Part Two,2024.0
Avengers: Endgame,2019.0
The Hunger Games,2012.0
The Bhootnii,2025.0
Heat,1995.0
The Truman Show,1998.0
Retro,2025.0
Fight or Flight,2024.0
Flow,2024.0
The Alto Knights,2025.0
Screamboat,2025.0
The Woman in the Yard,2025.0
Moana 2,2024.0
The Ugly Stepsister,2025.0
Sonic the Hedgehog 3,2024.0
X,2022.0
Wolf Man,2025.0
Fight Club,1999.0
In the Lost Lands,2025.0
The Silence of the Lambs,1991.0
No Hard Feelings,2023.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023.0
"Sorry, Baby",2025.0
Parasite,2019.0
Schindler's List,1993.0
Fountain of Youth,2025.0
Midsommar,2019.0
Civil War,2024.0
Goodfellas,1990.0
Smile 2,2024.0
Parthenope,2024.0
Clown in a Cornfield,2025.0
Dazed and Confused,1993.0
Se7en,1995.0
I'm Still Here,2024.0
The Life of Chuck,2024.0
The Princess Bride,1987.0
Primal Fear,1996.0
Magazine Dreams,2023.0
Anyone But You,2023.0
28 Days Later,2002.0
Forrest Gump,1994.0
Longlegs,2024.0
Poor Things,2023.0
It Ends with Us,2024.0
The Phoenician Scheme,2025.0
The Ministry of Ungentlemanly Warfare,2024.0
We Live in Time,2024.0
The Shrouds,2024.0
365 Days,2020.0
The Prestige,2006.0
The Return,2024.0
Jurassic Park,1993.0
Mission: Impossible,1996.0
On Swift Horses,2024.0
Fifty Shades of Grey,2015.0
The Batman,2022.0
The Dark Knight Rises,2012.0
Superboys of Malegaon,2024.0
Friendship,2024.0
Raiders of the Lost Ark,1981.0
Jaat,2025.0
Django Unchained,2012.0
Venom: The Last Dance,2024.0
Spider-Man: Across the Spider-Verse,2023.0
From Dusk Till Dawn,1996.0
Heart Eyes,2025.0
The Matrix,1999.0
American Pie,1999.0
Batman Begins,2005.0
The Departed,2006.0
The Gentlemen,2019.0
Twilight,2008.0
,
HIT: The 3rd Case,2025.0
Prey,2022.0
The Apprentice,2024.0
Holland,2025.0
Juror #2,2024.0
Gone Girl,2014.0
Borbaad,2025.0
Back to the Future,1985.0
Grease,1978.0
The Goonies,1985.0
The Assessment,2024.0
Furiosa: A Mad Max Saga,2024.0
Blade Runner 2049,2017.0
Whiplash,2014.0
Requiem for a Dream,2000.0
Star Wars: Episode II - Attack of the Clones,2002.0
The Passion of the Christ,2004.0
Alien,1979.0
Léon: The Professional,1994.0
Adult Best Friends,2024.0
The Notebook,2004.0
Good Will Hunting,1997.0
No Country for Old Men,2007.0
Spider-Man: No Way Home,2021.0
Matilda,1996.0
Wrath of Man,2021.0
Blink Twice,2024.0
Flight Risk,2025.0
Hell of a Summer,2023.0
Leave the World Behind,2023.0
Thudarum,2025.0
All Ladies Do It,1992.0
Strange Darling,2023.0
Megalopolis,2024.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0
Avengers: Infinity War,2018.0
Donnie Darko,2001.0
Prisoners,2013.0
The Dreamers,2003.0
Top Gun,1986.0
Hurry Up Tomorrow,2025.0
Paul,2011.0
Barbie,2023.0
Life or Something Like It,2002.0
Scarface,1983.0
Chhaava,2025.0
American Beauty,1999.0
In Secret,2013.0
Apocalypse Now,1979.0
Kingdom of Heaven,2005.0
All That Jazz,1979.0
Oldboy,2003.0
The Count of Monte-Cristo,2024.0
Incendies,2010.0
Predator: Killer of Killers,2025.0
Romeo + Juliet,1996.0
Nope,2022.0
Star Wars: Episode V - The Empire Strikes Back,1980.0
Mean Girls,2004.0
Hereditary,2018.0
Dune: Part One,2021.0
Snatch,2000.0
Azrael,2024.0
My Fault: London,2025.0
Rosario,2025.0
Deep Water,2022.0
Crazxy,2025.0
Twister,1996.0
Eternal Sunshine of the Spotless Mind,2004.0
The Handmaiden,2016.0
Small Things Like These,2024.0
Paddington in Peru,2024.0
The Beekeeper,2024.0
Bullet Train,2022.0
"Salò, or the 120 Days of Sodom",1975.0
12 Angry Men,1957.0
Materialists,2025.0
John Wick,2014.0
Pitch Perfect,2012.0
Guardians of the Galaxy Vol. 3,2023.0
Talk to Me,2022.0
The Biggest Fan,2025.0
Saving Private Ryan,1998.0
"Crazy, Stupid, Love.",2011.0
Murder at Yellowstone City,2022.0
Knives Out,2019.0
Road House,2024.0
Everything Everywhere All at Once,2022.0
Eden,2024.0
MaXXXine,2024.0
V for Vengeance,2022.0
The Town,2010.0
Guardians of the Galaxy,2014.0
Eyes Wide Shut,1999.0
Fall,2022.0
The Breakfast Club,1985.0
Tropic Thunder,2008.0
The Green Mile,1999.0
Get Out,2017.0
Dog Man,2025.0
Green Book,2018.0
It,2017.0
The Lord of the Rings: The Return of the King,2003.0
10 Things I Hate About You,1999.0
Bone Tomahawk,2015.0
Carry-On,2024.0
Kingsman: The Secret Service,2014.0
The Fall Guy,2024.0
Presence,2024.0
Avatar: Fire and Ash,2025.0
Suicide Squad,2016.0
John Wick: Chapter 4,2023.0
Where the Crawdads Sing,2022.0
How to Train Your Dragon,2010.0
Ed Kemper,2025.0
Terminator 2: Judgment Day,1991.0
Annihilation,2018.0
Deep Impact,1998.0
Saturday Night,2024.0
The Usual Suspects,1995.0
Catch Me If You Can,2002.0
Sin City,2005.0
Sicario,2015.0
Killers of the Flower Moon,2023.0
Bring Her Back,2025.0
"The Good, the Bad and the Ugly",1966.0
Iron Man,2008.0
Thor: Love and Thunder,2022.0
Mad Max: Fury Road,2015.0
Queer,2024.0
Taxi Driver,1976.0
Dungeons & Dragons: Honor Among Thieves,2023.0
Hit Man,2023.0
Don't Worry Darling,2022.0
Star Wars: Episode VI - Return of the Jedi,1983.0
Irreversible,2002.0
Star Wars: Episode VII - The Force Awakens,2015.0
Scorned,1993.0
Terrifier 3,2024.0
Black Panther,2018.0
Fast Times at Ridgemont High,1982.0
Shutter Island,2010.0
Past Lives,2023.0
The Iron Claw,2023.0
Abigail,2024.0
Clueless,1995.0
The Outsiders,1983.0
The Man from Earth,2007.0
It Feeds,2025.0
Jaws,1975.0
City of God,2002.0
Spirited Away,2001.0
Day of Reckoning,2025.0
Watchmen,2009.0
Blade Runner,1982.0
Spider-Man,2002.0
Better Man,2024.0
Teenage Mutant Ninja Turtles: The Rise of Leo,2025.0
The Godfather Part II,1974.0
The Terminator,1984.0
Subservience,2024.0
Indiana Jones and the Last Crusade,1989.0
There Will Be Blood,2007.0
Shadow Force,2025.0
The Help,2011.0
Mission: Impossible - Fallout,2018.0
Her,2013.0
Memento,2000.0
Ford v Ferrari,2019.0
One Battle After Another,2025.0
Marching Powder,2025.0
Harry Potter and the Goblet of Fire,2005.0
Back in Action,2025.0
The Hunger Games: Catching Fire,2013.0
Star Wars: Episode IX - The Rise of Skywalker,2019.0
Aliens,1986.0
Jurassic World Dominion,2022.0
Havoc,2005.0
One of Them Days,2025.0
Y2K,2024.0
Hell or High Water,2016.0
The Northman,2022.0
One Flew Over the Cuckoo's Nest,1975.0
Legend,2015.0
Casablanca,1942.0
Elevation,2024.0
Predator,1987.0
Just Go with It,2011.0
The Thing,1982.0
The Menu,2022.0
The Shining,1980.0
Independence Day,1996.0
Superbad,2007.0
The Super Mario Bros. Movie,2023.0
Arrival,2016.0
I Know What You Did Last Summer,1997.0
Final Destination 2,2003.0
Borderlands,2024.0
Oddity,2024.0
Wolfs,2024.0
There's Something About Mary,1998.0
The Beach,2000.0
The Equalizer,2014.0
Full Metal Jacket,1987.0
Mission: Impossible - Ghost Protocol,2011.0
Mob Land,2023.0
Eddington,2025.0
American History X,1998.0
Bonjour Tristesse,2024.0
Beetlejuice Beetlejuice,2024.0
The Big Lebowski,1998.0
The Big Short,2015.0
Cars,2006.0
The Bikeriders,2023.0
Blue Is the Warmest Colour,2013.0
Eternals,2021.0
Nymphomaniac: Vol. I,2013.0
Baby Driver,2017.0
The Sixth Sense,1999.0
Atonement,2007.0
The Avengers,2012.0
Asteroid City,2023.0
Ocean's Eleven,2001.0
Mulholland Drive,2001.0
Troy,2004.0
American Sniper,2014.0
Braveheart,1995.0
Vanilla Sky,2001.0
The Grand Budapest Hotel,2014.0
Captain America: The First Avenger,2011.0
Challengers,2024.0
Mission: Impossible II,2000.0
The Lion King,1994.0
Crimes of the Future,2022.0
The Suicide Squad,2021.0
Babylon,2022.0
Paprika,1991.0
Kill Bill: Vol. 1,2003.0
The Hangover,2009.0
La La Land,2016.0
Kindergarten Cop,1990.0
28 Weeks Later,2007.0
Operation Fortune: Ruse de Guerre,2023.0
Dead Poets Society,1989.0
Napoleon Dynamite,2004.0
The Devil's Advocate,1997.0
Happy Gilmore,1996.0
Lee,2023.0
Pearl,2022.0
Airplane!,1980.0
Homestead,2024.0
Ready Player One,2018.0
Ready or Not,2019.0
Malena,2000.0
The Heartbreak Kid,2007.0
Stand by Me,1986.0
Reservoir Dogs,1992.0
Star Trek: Section 31,2025.0
Jumanji,1995.0
Saltburn,2023.0
Mission: Impossible III,2006.0
Alita: Battle Angel,2019.0
Culpa Mía,2023.0
The Room Next Door,2024.0
Manchester by the Sea,2016.0
Court - State Vs. A Nobody,2025.0
The Equalizer 3,2023.0
War of the Worlds,2005.0
The Raid: Redemption,2011.0
Almost Famous,2000.0
The Fifth Element,1997.0
Transformers,2007.0
Black Panther: Wakanda Forever,2022.0
Woman of the Hour,2023.0
Tron: Legacy,2010.0
Madame Web,2024.0
Totally Killer,2023.0
Smile,2022.0
Harry Potter and the Deathly Hallows: Part 2,2011.0
Interview with the Vampire,1994.0
Final Destination 3,2006.0
Black Swan,2010.0
Constantine,2005.0
Little Women,2019.0
Idiocracy,2006.0
Red Eye,2005.0
Megan Is Missing,2011.0
Nobody,2021.0
Joker,2019.0
The Karate Kid,1984.0
Indiana Jones and the Temple of Doom,1984.0
The Girl Next Door,2004.0
1917,2019.0
Grown Ups,2010.0
The Voyeurs,2021.0
Death Becomes Her,1992.0
Avatar,2009.0
Legally Blonde,2001.0
EuroTrip,2004.0
Fargo,1996.0
Stargate,1994.0
The Mummy,1999.0
Dora and the Lost City of Gold,2019.0
Clue,1985.0
Once Upon a Time in America,1984.0
The Gift,2015.0
Rush,2013.0
Avatar: The Way of Water,2022.0
The Final Destination,2009.0
Rebel Ridge,2024.0
Bridget Jones: Mad About the Boy,2025.0
The Comeback Trail,2020.0
The Hateful Eight,2015.0
2001: A Space Odyssey,1968.0
The Covenant,2023.0
True Grit,2010.0
Memories of Murder,2003.0
Tenet,2020.0
Indiana Jones and the Dial of Destiny,2023.0
Divergent,2014.0
Hallow Road,2025.0
The Smashing Machine,2002.0
Fruitvale Station,2013.0
A Time to Kill,1996.0
Prometheus,2012.0
Casino,1995.0
Joker: Folie à Deux,2024.0
Uncle Buck,1989.0
Unforgiven,1992.0
Willow,1988.0
Me Before You,2016.0
500 Days of Summer,2009.0
Scream,1996.0
Us,2019.0
The Secret Life of Walter Mitty,2013.0
Mr. Nobody,2009.0
Lilo & Stitch,2002.0
Fast X,2023.0
Frewaka,2024.0
Life Is Beautiful,1997.0
Good Bad Ugly,2025.0
Knock Knock,2015.0
Deadpool,2016.0
Warrior,2011.0
Final Destination 5,2011.0
Promising Young Woman,2020.0
Come and See,1985.0
Downfall,2004.0
Kingsman: The Golden Circle,2017.0
Angels & Demons,2009.0
Train to Busan,2016.0
Brokeback Mountain,2005.0
2073,2024.0
Basic Instinct,1992.0
The Great Gatsby,2013.0
Zodiac,2007.0
RoboCop,1987.0
Kinds of Kindness,2024.0
The Raid 2,2014.0
Grown Ups 2,2013.0
Pan's Labyrinth,2006.0
The Intouchables,2011.0
The Blue Lagoon,1980.0
Minority Report,2002.0
Apocalypto,2006.0
A Different Man,2024.0
Mamma Mia!,2008.0
Glass Onion,2022.0
Wind River,2017.0
Costao,2025.0
Black Hawk Down,2001.0
Love & Other Drugs,2010.0
Homefront,2013.0
About Time,2013.0
Sisters,2015.0
300,2006.0
Starship Troopers,1997.0
The Equalizer 2,2018.0
Sneaks,2025.0
The Conjuring,2013.0
Captain America: The Winter Soldier,2014.0
Love Hurts,2025.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0
Home Alone,1990.0
Jumanji: Welcome to the Jungle,2017.0
A Clockwork Orange,1971.0
Dunkirk,2017.0
Alarum,2025.0
We're the Millers,2013.0
Drive,2011.0
The Unholy Trinity,2024.0
Love Lies Bleeding,2024.0
The Witch,2015.0
A Knight's Tale,2001.0
The Place Beyond the Pines,2012.0
Transformers One,2024.0
The Fugitive,1993.0
21 Jump Street,2012.0
Spider-Man: Into the Spider-Verse,2018.0
Monty Python and the Holy Grail,1975.0
Sixteen Candles,1984.0
Platoon,1986.0
The Lord of the Rings: The Two Towers,2002.0
Amadeus,1984.0
"Three Billboards Outside Ebbing, Missouri",2017.0
Mob Cops,2025.0
The Hobbit: An Unexpected Journey,2012.0
Point Break,1991.0
Five Nights at Freddy's,2023.0
Hacksaw Ridge,2016.0
The Rose of Versailles,2025.0
Inside Out 2,2024.0
The Age of Adaline,2015.0
Ratatouille,2007.0
Thor: Ragnarok,2017.0
Shallow Hal,2001.0
Star Wars: Episode VIII - The Last Jedi,2017.0
Landmine Goes Click,2015.0
Jurassic World,2015.0
Harry Potter and the Prisoner of Azkaban,2004.0
Call Me by Your Name,2017.0
The Game,1997.0
Hidden Figures,2016.0
Split,2016.0
Y tu mamá también,2001.0
Martyrs,2008.0
Here,2024.0
If Only,2004.0
Stardust,2007.0
Popeye: The Slayer Man,2025.0
Gunslingers,2025.0
Unfaithful,2002.0
Secretary,2002.0
True Romance,1993.0
Edge of Tomorrow,2014.0
Total Recall,1990.0
I Spit on Your Grave,2010.0
Ex Machina,2014.0
The Toxic Avenger,2023.0
Once Upon a Time in the West,1968.0
No Time to Die,2021.0
Superman,1978.0
The Ballad of Wallis Island,2025.0
The Hunt,2012.0
The Rule of Jenny Pen,2024.0
Mission: Impossible - Rogue Nation,2015.0
Horizon: An American Saga - Chapter 1,2024.0
Sing,2016.0
The Pianist,2002.0
Creed,2015.0
Grave of the Fireflies,1988.0
Charlie and the Chocolate Factory,2005.0
The Sound of Music,1965.0
The Martian,2015.0
Despicable Me 4,2024.0
Old School,2003.0
White Chicks,2004.0
The Girl with the Dragon Tattoo,2011.0
Terminator: Dark Fate,2019.0
Kids,1995.0
The Revenant,2015.0
The Family I Had,2017.0
The Predator,2018.0
Poltergeist,1982.0
Lie with Me,2005.0
Juliet & Romeo,2025.0
Only the Brave,2017.0
Wrong Turn,2003.0
The Wedding Banquet,2025.0
A Beautiful Mind,2001.0
Mid90s,2018.0
September 5,2024.0
Fury,2014.0
The Perks of Being a Wallflower,2012.0
Anatomy of a Fall,2023.0
Notting Hill,1999.0
Don't Look Up,2021.0
Free Guy,2021.0
Sisu,2022.0
Avengers: Age of Ultron,2015.0
The General's Daughter,1999.0
Moana,2016.0
The Last Showgirl,2024.0
Your Name.,2016.0
Home Sweet Home: Rebirth,2025.0
Harry Potter and the Chamber of Secrets,2002.0
Moneyball,2011.0
A Dog's Way Home,2019.0
Return to Silent Hill,2025.0
Die Alone,2024.0
Scary Movie,2000.0
Deva,2025.0
Princess Mononoke,1997.0
Perfect Days,2023.0
Friday,1995.0
The Greatest Showman,2017.0
Nonnas,2025.0
Uncut Gems,2019.0
Blue Velvet,1986.0
Ferris Bueller's Day Off,1986.0
"Good Luck to You, Leo Grande",2022.0
You're Cordially Invited,2025.0
Harry Potter and the Order of the Phoenix,2007.0
I Saw the TV Glow,2024.0
Armageddon,1998.0
Psycho,1960.0
Wonka,2023.0
Men in Black,1997.0
The Da Vinci Code,2006.0
The Wizard of Oz,1939.0
Chronicle,2012.0
School of Rock,2003.0
Bridge to Terabithia,2007.0
Ghosted,2023.0
Thor,2011.0
Trainspotting,1996.0
The Human Centipede (First Sequence),2009.0
Tremors,1990.0
The Irishman,2019.0
Terrifier,2016.0
Aftersun,2022.0
Veera Dheera Sooran: Part 2,2025.0
Runaway Jury,2003.0
The Hill,2023.0
The Little Mermaid,2023.0
Captain America: Civil War,2016.0
Cruel Intentions,1999.0
The Faculty,1998.0
It's a Mad Mad Mad Mad World,1963.0
The Salt Path,2024.0
The Idea of You,2024.0
Shrek,2001.0
Lucky Baskhar,2024.0
The Cabin in the Woods,2011.0
The Last Stop in Yuma County,2023.0
The Gray Man,2022.0
The Marvels,2023.0
Ne Zha 2,2025.0
Cheech & Chong's Last Movie,2024.0
The Exorcist,1973.0
Children of Men,2006.0
Eden Lake,2008.0
Shang-Chi and the Legend of the Ten Rings,2021.0
Amélie,2001.0
Jojo Rabbit,2019.0
Into the Wild,2007.0
The Ritual,2025.0
Nickel Boys,2024.0
Draft Day,2014.0
Dracula,1992.0
Meet Joe Black,1998.0
Black Adam,2022.0
Desire,2011.0
Uncharted,2022.0
Palm Springs,2020.0
Kung Fu Panda,2008.0
The Social Network,2010.0
Office Space,1999.0
The Tomorrow War,2021.0
A Serbian Film,2010.0
Fresh,2022.0
Salem's Lot,2024.0
The Holdovers,2023.0
Boogie Nights,1997.0
Pretty Woman,1990.0
Doctor Strange in the Multiverse of Madness,2022.0
The Mask,1994.0
The Incredible Hulk,2008.0
The Sandlot,1993.0
Booksmart,2019.0
The Expendables 4,2023.0
The Zone of Interest,2023.0
V for Vendetta,2005.0
Scent of a Woman,1992.0
Beetlejuice,1988.0
Passengers,2016.0
Carrie,1976.0
Marked Men,2025.0
The Fast and the Furious,2001.0
The Virgin Suicides,1999.0
Sing Sing,2023.0
The Whale,2022.0
The Naked Gun: From the Files of Police Squad!,1988.0
The Hunt,2020.0
Lucy,2014.0
In a Violent Nature,2024.0
Casino Royale,2006.0
Predestination,2014.0
Easy A,2010.0
Sacramento,2024.0
The Last Voyage of the Demeter,2023.0
My Cousin Vinny,1992.0
Howl's Moving Castle,2004.0
The Devil Wears Prada,2006.0
Bad Boys: Ride or Die,2024.0
Spaceballs,1987.0
Emmanuelle,2024.0
Solo: A Star Wars Story,2018.0
Venom,2018.0
Beauty and the Beast,2017.0
Love Actually,2003.0
All Quiet on the Western Front,2022.0
The Lighthouse,2019.0
E.T. the Extra-Terrestrial,1982.0
Alien: Covenant,2017.0
Zootopia,2016.0
Gangs of New York,2002.0
The Day the Earth Blew Up: A Looney Tunes Movie,2024.0
Sicario: Day of the Soldado,2018.0
A Few Good Men,1992.0
M3GAN,2022.0
Police Academy,1984.0
The Six Triple Eight,2024.0
Nightcrawler,2014.0
The Imitation Game,2014.0
The Lives of Others,2006.0
All of Us Strangers,2023.0
The Last Duel,2021.0
Jack Reacher,2012.0
The Killer,2023.0
The Incredibles,2004.0
Borderline,2025.0
Les Misérables,2012.0
Scott Pilgrim vs. the World,2010.0
Dune,1984.0
My Old Ass,2024.0
The Deer Hunter,1978.0
Fantastic Four,2005.0
Baywatch,2017.0
X-Men,2000.0
Die Hard,1988.0
Speed,1994.0
Late Night with the Devil,2023.0
The Last of the Mohicans,1992.0
Spotlight,2015.0
Dead Mail,2024.0
The Boy and the Heron,2023.0
L.A. Confidential,1997.0
Shazam! Fury of the Gods,2023.0
Ant-Man and the Wasp,2018.0
Triangle of Sadness,2022.0
West Side Story,2021.0
Bad Times at the El Royale,2018.0
Argylle,2024.0
Training Day,2001.0
Summer of 69,2025.0
The Patriot,2000.0
MadS,2024.0
Crazy Rich Asians,2018.0
Hot Tub Time Machine,2010.0
3 Idiots,2009.0
Logan,2017.0
Coco,2017.0
Emilia Pérez,2024.0
Toy Story,1995.0
Survive,2024.0
The King's Man,2021.0
For Your Eyes Only,1981.0
The Nice Guys,2016.0
The Maze Runner,2014.0
Caddo Lake,2024.0
Coherence,2013.0
The Lost World: Jurassic Park,1997.0
Spider-Man: Homecoming,2017.0
,
Shooter,2007.0
Ghostbusters,1984.0
How to Make Millions Before Grandma Dies,2024.0
Bring It On,2000.0
Event Horizon,1997.0
Transformers: The Last Knight,2017.0
Frozen,2013.0
Good Boy,2025.0
The Lost Boys,1987.0
After,2019.0
Van Helsing,2004.0
Puss in Boots: The Last Wish,2022.0
The Wedding Singer,1998.0
The Magnificent Seven,2016.0
A Quiet Place: Day One,2024.0
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,2024.0
Taken,2008.0
Man of Steel,2013.0
Wifelike,2022.0
Beautiful Boy,2018.0
IF,2024.0
Sense and Sensibility,1995.0
The Parent Trap,1998.0
Finding Nemo,2003.0
Iron Man 2,2010.0
Cinderella,2015.0
Kneecap,2024.0
Little Miss Sunshine,2006.0
Star Trek,2009.0
Hook,1991.0
2012,2009.0
Harry Potter and the Deathly Hallows: Part 1,2010.0
The Lord of the Rings: The War of the Rohirrim,2024.0
Demolition,2015.0
Fantastic Mr. Fox,2009.0
Top Secret!,1984.0
Jerry Maguire,1996.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017.0
The Elephant Man,1980.0
The Crow,2024.0
Pirates of the Caribbean: Dead Man's Chest,2006.0
Red One,2024.0
Ground Zero,2025.0
Batman,1989.0
Fantastic Four,2015.0
Predators,2010.0
Ted,2012.0
Caveat,2020.0
Hamilton,2020.0
Oblivion,2013.0
"Lock, Stock and Two Smoking Barrels",1998.0
Weird Science,1985.0
Fantastic Beasts and Where to Find Them,2016.0
Pink Floyd: Live at Pompeii,1972.0
In Time,2011.0
Contagion,2011.0
Raid,2018.0
Inside Man,2006.0
Rain Man,1988.0
Cast Away,2000.0
Lost in Translation,2003.0
Red Sparrow,2018.0
Kingdom of the Planet of the Apes,2024.0
WALL·E,2008.0
Pale Rider,1985.0
Iron Man 3,2013.0
The Old Guard 2,2025.0
Saw,2004.0
The Rocky Horror Picture Show,1975.0
The Rock,1996.0
Death Proof,2007.0
Mystic River,2003.0
Opus,2025.0
Geostorm,2017.0
Dogma,1999.0
Underwater,2020.0
13 Hours: The Secret Soldiers of Benghazi,2016.0
Margin Call,2011.0
Zack Snyder's Justice League,2021.0
Gone with the Wind,1939.0
Nightbitch,2024.0
It's What's Inside,2024.0
The Abyss,1989.0
Tangled,2010.0
The 40-Year-Old Virgin,2005.0
Wedding Crashers,2005.0
Ben-Hur,1959.0
Deadpool 2,2018.0
Napoleon,2023.0
A Quiet Place,2018.0
Hot Fuzz,2007.0
Willy Wonka & the Chocolate Factory,1971.0
Ant-Man and the Wasp: Quantumania,2023.0
The Last Rodeo,2025.0
12 Years a Slave,2013.0
Instant Family,2018.0
Secretariat,2010.0
Rocky,1976.0
The Lion King,2019.0
Tusk,2014.0
The Flash,2023.0
Black Mirror: Bandersnatch,2018.0
"Girl, Interrupted",1999.0
Coyote Ugly,2000.0
Holes,2003.0
Hannibal,2001.0
Thirteen,2003.0
The Dark Tower,2017.0
The Descent,2005.0
Erin Brockovich,2000.0
Aladdin,2019.0
X-Men: First Class,2011.0
Man on Fire,2004.0
Last Night in Soho,2021.0
The Fast and the Furious: Tokyo Drift,2006.0
Dirty Dancing,1987.0
La cocina,2024.0
"Monsters, Inc.",2001.0
Mr. & Mrs. Smith,2005.0
Blended,2014.0
Death on the Nile,2022.0
Not Another Teen Movie,2001.0
Fly Me to the Moon,2024.0
9 Songs,2004.0
Peter Pan's Neverland Nightmare,2025.0
World War Z,2013.0
The Watchers,2024.0
Drive-Away Dolls,2024.0
Priscilla,2023.0
The Ritual,2017.0
Shame,2011.0
The King,2019.0
Nocturnal Animals,2016.0
The Prince of Egypt,1998.0
Purple Hearts,2022.0
Bring Them Down,2024.0
Licorice Pizza,2021.0
Murder on the Orient Express,2017.0
La Dolce Villa,2025.0
Perfect Blue,1997.0
The Banshees of Inisherin,2022.0
The Bourne Identity,2002.0
The Curious Case of Benjamin Button,2008.0
The Perfect Storm,2000.0
Tinker Tailor Soldier Spy,2011.0
King Kong,2005.0
"Husband, Father, Killer: The Alyssa Pladl Story",2024.0
Godzilla x Kong: The New Empire,2024.0
